품목비교 Historical Data
조회기간 :,2008-07-20 ~ 2018-07-18
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,Union
[일간 기준]
,"철광석 Fines (Daily) [중국(수입가 CFR)] 현물USD/ton","PDS 에너지 하위지수2015.01.02=100","PDS 비철금속 하위지수2015.01.02=100","PDS 철강 하위지수2015.01.02=100","PDS 석유화학 하위지수2015.01.02=100","PDS 농산물 하위지수2015.01.02=100","LMEX Index1999.04=1000","US Dollar IndexMar 1973=100","DRAMeXchange Index (DXI)2001.10.01=1000","TOCOM Index2002.05.31=100","Rogers International Commodities Index1998.07.31=1000","Rogers International Commodities Index Energy1998.07.31=1000","Rogers International Commodities Index Metals1998.07.31=1000","Rogers International Commodities Index Agriculture1998.07.31=1000"
20180501,#N/A,124.162,114.95,110.715,132.967,89.624,3300,88.1188,#N/A,283.54,2537.67,388.1,2159.83,853.05
20180430,65.43,123.327,115.314,110.774,132.967,89.166,3288,87.6276,28759.29,#N/A,2550.08,393.91,2180.29,844.82
20180427,65.68,123.588,115.251,110.774,129.638,88.088,3358,87.542,28791.38,280.25,2540.32,391.21,2181.05,842.07
20180426,66.258,123.447,116.704,110.774,129.638,88.523,3352,87.4816,28818.59,281.26,2544.31,392.86,2202.08,835.92
20180425,66.38,123.514,117.174,110.774,129.638,87.896,3352,87.26,28953.76,279.36,2536.32,390.15,2196.99,836.55
20180424,#N/A,123.795,119.626,110.774,129.638,87.672,3365,86.9504,28985.2,282.12,2529.78,389.36,2207.88,829.31
20180423,67.67,123.077,120.368,110.893,129.638,88.046,3457,86.9622,29022.19,277.97,2539.3,392.63,2212.2,828.94
20180420,67.06,122.43,122.629,110.893,128.771,88.707,3459,86.3755,29063.11,277.75,2555.21,#N/A,#N/A,#N/A
20180419,68.45,122.209,121.329,110.893,128.771,88.533,3494,85.8885,29089.33,278.65,2556.19,387.93,2281.4,838.11
20180418,65.88,119.984,117.1,110.893,128.771,87.571,3382,85.6951,29089.33,274.34,2565.09,388.75,2300.33,839.37
20180417,64.51,119.924,116.998,112.936,128.771,87.566,3387,85.5765,29099.6,271.59,2521.13,380.39,2242.51,834.34
20180416,63.93,121.28,116.301,113.268,128.771,88.485,3316,85.532,29153.15,271.77,2517.69,379.82,2239.74,833.26
20180413,64.96,120.37,114.181,113.268,125.075,88.812,3326,85.8087,29195.13,272.8,2525.16,384.5,1910.5,838.57
20180412,64.47,120.066,116.896,113.268,125.075,88.317,3351,85.7508,29198.4,272.93,2520.51,381.38,2206.45,841.12
20180411,64.79,118.573,115.612,113.268,125.075,88.674,3330,85.4936,29258.04,269.52,2524.22,381.23,2224.85,840.01
20180410,65.3,115.778,113.534,113.268,125.075,89.188,3276,85.7493,29256.26,266.66,2505.47,375.37,2204.95,842.42
20180409,63.95,114.135,110.796,113.562,125.075,88.081,3223,85.976,29270.39,262.4,2476.15,366.29,2183.33,843.33
20180406,63.57,115.226,111.597,113.562,126.306,88.189,3224,86.54,#N/A,263.03,2441.36,360.19,2153.26,833.74
20180405,63.57,115.164,110.361,113.562,126.306,86.928,3194,86.54,#N/A,263.71,2454.07,365.69,2146.69,833.74
20180404,63.57,115.254,112.437,113.562,126.306,87.221,3220,86.2295,29287.56,262.41,2440.11,365.26,2140.22,823.22
20180403,63.76,114.935,111.684,113.562,126.306,87.184,3205,86.3098,29287.56,261.32,2450.98,365.51,2152.37,829.66
20180402,65.8,116.932,111.684,113.54,126.306,87.907,3205,86.4032,29301.22,265.94,2442.06,363.13,2161.04,824.89
20180330,#N/A,117.041,111.684,113.54,125.767,87.881,3205,86.2665,27579.62,265.94,#N/A,#N/A,#N/A,#N/A
20180329,#N/A,116.175,110.987,113.54,125.767,86.706,3199,86.3748,27639.49,264.91,#N/A,#N/A,#N/A,#N/A
20180328,63.12,117.093,111.889,113.54,125.767,86.8,3196,86.1384,27657.96,263.61,2450.38,369.28,2149.48,820.01
20180327,65.17,117.355,110.234,113.54,125.767,86.911,3184,85.7394,27693.68,265.94,2467.42,372.82,2163.09,823.5
20180326,64.33,117.397,111.786,113.183,125.767,87.453,3189,85.5564,27697.55,263.93,2467.25,372.26,2167.51,823.63
20180323,64.58,115.811,112.807,113.183,124.23,87.709,3210,85.8266,27646.41,261.68,2469.69,373.23,2160.05,825.42
20180322,67.18,116.271,112.114,113.183,124.23,87.596,3250,86.1841,27643.53,263.91,2455.09,#N/A,#N/A,#N/A
20180321,67.25,114.057,113.209,113.183,124.23,85.828,3227,#N/A,27694.18,#N/A,2467.62,370.67,2169.67,827.62
20180320,66.94,112.254,113.271,113.183,124.23,87.078,3264,86.7713,27705.44,258.3,2440.46,363.08,2149.83,826.74
20180319,67.45,112.504,114.668,113.234,124.23,88.567,3276,86.5089,27682.25,255.43,2426.64,356.19,2168.05,826.68
20180316,69.84,111.697,114.104,113.234,123.42,89.142,3283,86.7572,27648.52,255.65,2446.18,358.16,2168.4,840.33
20180315,72.11,111.829,116.116,113.234,123.42,89.694,3299,86.503,27622.7,255.75,2439.71,353.07,2176.43,845.41
20180314,71.64,111.718,114.686,113.234,123.42,89.915,3301,86.1744,27709.64,256.59,2445.08,353.05,2187.55,847.69
20180313,69.78,112.131,114.398,113.234,123.42,89.856,3278,86.0611,27753.07,256.91,2446.47,352.41,2194.09,848.96
20180312,69.93,112.205,113.333,111.988,123.42,89.975,3311,86.1847,27907,257.95,#N/A,#N/A,#N/A,#N/A
20180309,70.09,110.818,113.74,111.988,125.959,90.767,3258,86.187,27979.31,254.16,2455.13,355.65,2194.45,848.67
20180308,73.23,111.76,115.013,111.988,125.959,90.477,3293,86.3974,28053.43,254.06,2435.61,348.13,2171.67,855.82
20180307,75.84,113.151,116.336,111.988,125.959,91.527,3335,86.1817,28194.25,255.56,2447.55,352.58,2183.27,852.47
20180306,76.07,112.629,114.988,111.988,125.959,91.788,3309,85.9253,27013.04,257.78,2478.71,358.15,2213.9,859.68
20180305,77.03,111.122,115.908,110.953,125.959,91.117,3316,86.3656,27013.04,253.92,2471.3,356.7,2192.38,862.17
20180302,78.43,110.916,115.471,110.953,127.433,92.015,3329,86.2256,27013,252,2446.86,350.76,2199.84,852.15
20180301,79.39,112.088,116.937,110.953,127.433,90.97,3340,86.6211,27013,255.95,2446.86,349.19,2192.29,858.34
20180228,78.61,114.427,118.127,110.953,127.433,90.197,3378,86.4919,27931,260.74,2452.59,352.4,2211.63,850.36
20180227,79.15,115.226,119.079,110.953,127.433,90.281,3403,86.3273,27935.1,263.39,2470.66,360.63,2226.82,842.56
20180226,79.36,114.802,118.545,110.953,127.433,90.116,3392,85.9499,27955.93,263.29,2485.53,364.59,2244.71,841.98
20180223,78.82,113.176,118.218,110.953,126.495,89.378,3428,85.8219,27980.41,260.3,2471.68,362.36,2235.21,837
20180222,78.2,111.945,118.288,110.953,126.495,88.749,3425,85.871,28098.2,258.01,2462.25,358.55,2251.12,833.68
20180221,#N/A,111.622,119.058,110.953,126.495,88.718,3411,85.9436,28125.01,259.01,2449.16,353.83,2252.94,832.58
20180220,#N/A,111.702,120.016,110.953,126.495,88.804,3428,85.6314,#N/A,259.45,2443.98,353.16,2247.22,830.85
20180219,#N/A,110.594,120.237,112.318,126.495,88.793,3464,#N/A,#N/A,259.13,#N/A,#N/A,#N/A,#N/A
