Date,Open,High,Low,Close,Adj Close,Volume
2009-11-15,null,null,null,null,null,null
2009-11-22,null,null,null,null,null,null
2009-11-29,2.670000,2.670000,2.600000,2.660000,1.786152,3000
2009-12-06,null,null,null,null,null,null
2009-12-13,2.650000,2.650000,2.650000,2.650000,1.779438,2500
2009-12-20,2.660000,2.720000,2.620000,2.650000,1.779438,6200
2009-12-27,null,null,null,null,null,null
2010-01-03,2.900000,3.240000,2.850000,3.200000,2.148755,2800
2010-01-10,3.360000,3.420000,3.250000,3.280000,2.202474,5100
2010-01-17,3.030000,3.070000,2.950000,3.070000,2.061461,100
2010-01-24,2.980000,3.050000,2.830000,2.830000,1.900305,9096
2010-01-31,2.737000,3.089000,2.737000,2.797000,1.878146,3000
2010-02-07,2.841000,3.148000,2.841000,3.030000,2.034602,2200
2010-02-14,3.109000,3.353000,3.109000,3.170000,2.128611,1000
2010-02-21,3.232000,3.237000,2.964000,2.990000,2.007743,300
2010-02-28,3.040000,3.276000,3.040000,3.210000,2.155470,1220
2010-03-07,3.239000,3.320000,3.180000,3.320000,2.229333,600
2010-03-14,3.178000,3.353000,3.178000,3.353000,2.251493,19030
2010-03-21,3.206000,3.300000,3.191000,3.261000,2.189715,2500
2010-03-28,3.215000,3.400000,3.215000,3.330000,2.236048,1920
2010-04-04,3.422000,3.526000,3.400000,3.400000,2.283052,1470
2010-04-11,3.532000,3.660000,3.496000,3.617000,2.428765,300
2010-04-18,3.524000,3.603000,3.430000,3.440000,2.309911,3500
2010-04-25,3.427000,3.440000,3.024000,3.024000,2.030574,6551
2010-05-02,3.028000,3.028000,2.737000,2.800000,1.880160,5700
2010-05-09,2.949000,3.088000,2.828000,3.000000,2.014457,2550
2010-05-16,2.769000,2.933000,2.289000,2.530000,1.698859,11851
2010-05-23,2.530000,2.882000,2.167000,2.850000,1.913735,4260
2010-05-30,2.676000,3.050000,2.641000,2.870000,1.927164,5800
2010-06-06,2.700000,2.900000,2.587000,2.900000,1.947309,15599
2010-06-13,2.881000,2.955000,2.881000,2.955000,1.984241,2696
2010-06-20,3.130000,3.240000,2.990000,3.080000,2.068177,1676
2010-06-27,3.080000,3.080000,2.594000,2.809000,1.886204,7305
2010-07-04,2.772000,3.099000,2.700000,2.900000,1.947309,9450
2010-07-11,3.087000,3.087000,2.797000,2.797000,1.878146,1450
2010-07-18,2.667000,2.911000,2.576000,2.850000,1.913735,3000
2010-07-25,3.015000,3.022000,2.890000,2.900000,1.947309,2470
2010-08-01,3.016000,3.085000,2.940000,3.085000,2.071534,1500
2010-08-08,3.162000,3.200000,2.963000,3.072000,2.062804,4422
2010-08-15,3.090000,3.270000,3.060000,3.102000,2.082949,7120
2010-08-22,3.212000,3.214000,2.919000,3.160000,2.121895,2157
2010-08-29,3.282000,3.450000,3.192000,3.368000,2.261564,1300
2010-09-05,3.474000,3.531000,3.400000,3.450000,2.316626,2000
2010-09-12,3.578000,3.604000,3.420000,3.430000,2.303196,2000
2010-09-19,3.485000,3.565000,3.428000,3.565000,2.393847,4400
2010-09-26,3.617000,3.684000,3.562000,3.662000,2.458981,4000
2010-10-03,3.708000,4.061000,3.616000,4.061000,2.726904,0
2010-10-10,4.371000,4.517000,4.204000,4.451000,2.988784,8500
2010-10-17,4.446000,4.509000,4.197000,4.509000,3.027729,1150
2010-10-24,4.595000,4.643000,4.260000,4.376000,2.938422,10962
2010-10-31,4.430000,4.873000,4.430000,4.873000,3.272150,5340
2010-11-07,4.927000,5.005000,4.850000,4.962000,3.331912,8090
2010-11-14,4.830000,4.930000,4.687000,4.786000,3.213731,3875
2010-11-21,4.747000,4.850000,4.506000,4.766000,3.200301,4313
2010-11-28,4.735000,4.770000,4.601000,4.740000,3.182842,1800
2010-12-05,4.793000,4.845000,4.750000,4.820000,3.236562,812
2010-12-12,4.929000,5.013000,4.874000,4.994000,3.353400,1100
2010-12-19,5.011000,5.146000,4.960000,5.129000,3.444051,3537
2010-12-26,5.099000,5.178000,5.000000,5.153000,3.460166,1215
2011-01-02,4.990000,5.079000,4.767000,4.940000,3.317141,9372
2011-01-09,4.985000,5.107000,4.885000,5.010000,3.364144,7399
