품목비교 Historical Data
조회기간 :,2013-07-05 ~ 2018-07-04
표시기준 :,Value(Price)로 표시
순서 :,최근부터(DESC)
병합기준 :,Lag
[일간 기준]
,"철광석 Fines (Daily) [중국(수입가 CFR)] 현물USD/ton","USD/KRW (미국 달러 / 한국 원)","CNY/KRW (중국 인민폐 / 한국 원)","USD/CNY (미국 달러 / 중국 인민폐)"
20180704,64.55,1121.1,167.03,6.64173
20180703,64.55,1117.4,168.19,6.64173
20180702,64.54,1117.2,168.42,6.667156
20180629,65.02,1121.7,169.41,6.619026
20180628,64.44,1117.9,169.36,6.6265
20180627,64.6,1115.2,170.1,6.60522
20180626,66.62,1116.1,170.66,6.57951
20180625,65.49,1108.9,170.43,6.539863
20180622,65.34,1109,170.78,6.503585
20180621,64.88,1108,171.16,6.492218
20180620,65.49,1105.5,171.2,6.473198
20180619,66.45,1104.4,171.19,6.485205
20180618,68.49,1091.4,169.97,6.439017
20180615,68.49,1082.5,169.44,6.436049
20180614,68.49,1075.1,167.73,6.40198
20180613,67.02,1073.5,167.6,6.397633
20180612,67.23,1073.5,167.6,6.402199
20180611,66.75,1073.2,167.78,6.397753
20180608,66.84,1067.9,167.31,6.401097
20180607,66.84,1069.6,166.86,6.392057
20180606,66.56,1070.9,166.94,6.387279
20180605,66.34,1070.9,166.94,6.406527
20180604,65.47,1076,167.76,6.409309
20180601,66.16,1076.4,167.99,6.417866
20180531,65.32,1081.3,168.27,6.409551
20180530,65.78,1076.1,167.96,6.419654
20180529,63.89,1073.2,168.15,6.417134
20180528,63.89,1078.7,169.01,6.398485
20180525,63.94,1079.7,169.11,6.389939
20180524,65.54,1078.8,169.57,6.378458
20180523,64.11,1083.8,170.09,6.387459
20180522,64.41,1080,169.92,6.366949
20180521,65.3,1080,169.92,6.382776
20180518,67.49,1079.3,169.9,6.380857
20180517,67.49,1078.7,169.48,6.365596
20180516,68.03,1072.6,169.23,6.370805
20180515,67.28,1066.6,168.42,6.377383
20180514,68.93,1068.6,168.69,6.338378
20180511,67.42,1075.3,169.22,6.334045
20180510,66.83,1081.3,169.76,6.346225
20180509,66.46,1078.2,169.5,6.36045
20180508,66.8,1076.7,169.71,6.371688
20180507,67.26,1076.5,169.07,6.366093
20180504,66.87,1076.5,169.07,6.355386
20180503,66.87,1074.9,169.04,6.353602
20180502,66.98,1067.5,169.07,6.361447
20180501,65.43,1076.2,169.94,6.340526
20180430,65.43,1076.2,169.94,6.334148
20180427,65.68,1079.7,170.69,6.330579
20180426,66.258,1078.7,171.07,6.336184
20180425,66.38,1076.9,170.56,6.325721
20180424,67.67,1068.9,169.89,6.305681
20180423,67.67,1067.3,170.03,6.316452
20180420,67.06,1063.5,169.86,6.292199
20180419,68.45,1066.5,169.59,6.279034
20180418,65.88,1068.4,170.33,6.274085
20180417,64.51,1073.1,170.85,6.282417
20180416,63.93,1070,170.27,6.276502
20180413,64.96,1068.7,170.37,6.273531
20180412,64.47,1066.4,169.91,6.291416
20180411,64.79,1067.7,169.41,6.26774
20180410,65.3,1067.5,169.41,6.282864
20180409,63.95,1066,169.02,6.307058
20180406,63.57,1059.5,168.56,6.301432
20180405,63.57,1057.6,168.26,6.304398
20180404,63.57,1057.8,168.6,6.305228
20180403,63.76,1058.1,168.83,6.289798
20180402,65.8,1064.4,169.8,6.277939
20180330,63.12,1066.5,169.68,6.282121
20180329,63.12,1069.4,170.61,6.289258
20180328,63.12,1072.2,171.52,6.297542
20180327,65.17,1081.2,171.35,6.282352
20180326,64.33,1080.8,170.6,6.27248
20180323,64.58,1069.2,169.3,6.310083
20180322,67.18,1071.4,169.21,6.33332
20180321,67.25,1071,169.35,6.322955
20180320,66.94,1071.2,169.15,6.333165
20180319,67.45,1069.6,169.05,6.331442
20180316,69.84,1065.8,169.04,6.331117
20180315,72.11,1065.8,168.74,6.321626
20180314,71.64,1065.8,168.55,6.317132
20180313,69.78,1064.3,168.24,6.321492
20180312,69.93,1069.2,168.58,6.329569
20180309,70.09,1068.4,168.89,6.331879
20180308,73.23,1068.7,168.96,6.340964
20180307,75.84,1075.4,169.71,6.325699
20180306,76.07,1080.5,170.7,6.311778
20180305,77.03,1081.3,170.21,6.349192
20180302,78.43,1081.9,170.99,6.347162
20180301,79.39,1071,170.2,6.35616
20180228,78.61,1071,170.2,6.331313
20180227,79.15,1073.7,169.98,6.316816
20180226,79.36,1078.5,170.2,6.315998
20180223,78.82,1082.9,170.74,6.334769
20180222,78.2,1075.3,169.53,6.349502
20180221,78.43,1070.3,169.53,6.347297
20180220,78.43,1068,169.52,6.34426
20180219,78.43,1079.9,170.57,6.347392
20180216,78.43,1082.8,171.06,6.346525
20180215,78.43,1082.8,171.06,6.34678
20180214,78.41,1082.8,171.06,6.345433
20180213,77.36,1083.4,171.7,6.341028
20180212,76.24,1092.7,171.91,6.327766
20180209,76.46,1087.8,172.17,6.289057
20180208,77.32,1083.3,172.87,6.325931
20180207,77.2,1094.3,173.7,6.272627
20180206,75.92,1089.8,172.79,6.28525
20180205,75.7,1076.7,171.15,6.290626
20180202,74.39,1071.1,170.09,6.300268
20180201,72.88,1071,169.26,6.300151
20180131,72.92,1071.5,168.99,6.287425
20180130,72.97,1064.8,168.33,6.32247
20180129,74.33,1064.8,168.15,6.337598
20180126,74.4,1061.7,167.42,6.316683
20180125,75.04,1070.6,167.44,6.322654
20180124,74.53,1069.7,167.19,6.363971
20180123,76.75,1068.9,166.86,6.4049
20180122,76.61,1067.3,166.74,6.40534
20180119,76.75,1069.4,166.07,6.404537
20180118,74.87,1065.8,165.65,6.419693
20180117,74.51,1064,165.37,6.434256
20180116,75.71,1061.3,164.87,6.445298
20180115,76.59,1064.7,164.1,6.437427
20180112,78.05,1070.7,163.86,6.454192
20180111,79.08,1070.7,163.86,6.498749
20180110,78.31,1067.1,164.08,6.50757
20180109,78.47,1065.2,164.31,6.531513
20180108,77.74,1062.1,163.86,6.499486
20180105,76.8,1065.5,163.92,6.488237
20180104,76.54,1065.4,163.9,6.493137
20180103,74.97,1064.3,163.82,6.503204
20180102,74.71,1071.4,163.65,6.492477
20180101,72.61,1071.4,163.65,6.505762
20171229,72.61,1071.4,163.65,6.504056
20171228,72.62,1077.1,164.58,6.534125
20171227,72.62,1077.1,164.58,6.556214
20171226,76.08,1079.2,164.3,6.544422
20171225,76.36,1080.6,164.66,6.559281
20171222,76.36,1080.6,164.66,6.574927
20171221,72.82,1082.9,164.28,6.586015
20171220,72.84,1086.8,164.43,6.578815
20171219,73.93,1089.1,164.72,6.604428
20171218,74.15,1089.3,164.91,6.616416
20171215,71.5,1086.7,164.41,6.611091
20171214,69.94,1091.9,164.87,6.610591
20171213,70.85,1090.1,164.5,6.619091
20171212,71.25,1092.4,165.03,6.621509
20171211,68.82,1093.4,165.14,6.620626
20171208,69.35,1092.7,165.18,6.615528
20171207,65.7,1091.9,164.88,6.618963
20171206,69.36,1084.3,164.03,6.61475
20171205,71.77,1088.3,164.53,6.618699
20171204,72.68,1087.1,164.36,6.615528
20171201,70.11,1085.1,163.99,6.614143
20171130,68.13,1082.4,164.01,6.6124
20171129,67.92,1088.3,164.98,6.611538
20171128,67.76,1087.6,164.86,6.607464
20171127,67.27,1085,164.82,6.596891
20171124,67.94,1088.2,165.08,6.600682
20171123,67.69,1091.3,164.76,6.58329
20171122,65.17,1097.3,165.11,6.610052
20171121,62.5,1098.9,165.4,6.629814
20171120,63.47,1096.1,165.35,6.63424
20171117,62.61,1104.1,166.53,6.628944
20171116,61.57,1114.4,168.05,6.630706
20171115,61.84,1118.5,168.25,6.624802
20171114,63.17,1120.7,168.37,6.636207
20171113,62.19,1117.2,168.16,6.641194
20171110,62.6,1114.3,167.92,6.641461
20171109,62.32,1114.3,167.87,6.640398
20171108,62.26,1111.6,167.84,6.627879
20171107,62.66,1116.7,168.32,6.639064
20171106,63.36,1112.7,168.24,6.633803
20171103,59.88,1113.3,168.68,6.634483
20171102,59.79,1116.8,168.45,6.609112
20171101,59.35,1121.2,169.06,6.604701
20171031,58.52,1125,169.25,6.634041
20171030,58.75,1130,169.72,6.646843
20171027,60.08,1124.7,169.58,6.64946
20171026,61.47,1128.3,169.96,6.642599
20171025,62.24,1128.3,170.16,6.639682
20171024,62.42,1131.9,170.63,6.633463
20171023,62,1131.9,171.03,6.639687
20171020,62.46,1132.3,170.87,6.622914
20171019,60.88,1131.4,171.52,6.613899
20171018,62.72,1131.4,171.52,6.625742
20171017,62.72,1127.3,171.55,6.620722
20171016,62.94,1130.8,172.09,6.5902
20171013,62.53,1133.7,172.31,6.578659
20171012,60.09,1135.2,172.77,6.587239
20171011,59.65,1138.2,172.78,6.587632
20171010,61.01,1145.7,171.98,6.576227
20171009,62.67,1146.7,172.35,6.626243
20171006,62.24,1146.7,172.35,6.655022
20171005,61.48,1146.7,172.35,6.649745
20171004,62.05,1146.7,172.35,6.650456
20171003,62.05,1146.7,172.35,6.649075
20171002,62.05,1146.7,172.35,6.65078
20170929,62.05,1146.7,172.35,6.654788
20170928,62.89,1139.4,171.83,6.665956
20170927,64.15,1136.3,171.82,6.641115
20170926,64.95,1130.7,171.48,6.638189
20170925,63.06,1136.3,172.71,6.62008
20170922,63.56,1132.8,171.86,6.592653
20170921,66.09,1129.1,171.79,6.591437
20170920,69.65,1130,171.59,6.574983
20170919,68.85,1127.9,172.25,6.584038
20170918,71.76,1133.5,173.08,6.572344
20170915,72.13,1132.5,172.88,6.554015
20170914,73.99,1127.5,172.61,6.555123
20170913,76.56,1129.8,172.62,6.538071
20170912,76.37,1129.5,173.26,6.533885
20170911,74.49,1126.8,174.14,6.52687
20170908,74.36,1129.6,172.84,6.479626
20170907,75.61,1133.7,173.32,6.490131
20170906,76.82,1131.3,172.98,6.522778
20170905,78.39,1131.5,172.63,6.541578
20170904,77.86,1122.7,170.5,6.526746
20170901,78.91,1125.8,170.51,6.561121
20170831,78.91,1122.8,170.23,6.592147
20170830,76.08,1126.2,170.26,6.593126
20170829,76.36,1120.4,168.82,6.597705
20170828,77.15,1129.2,169.55,6.61633
20170825,78.38,1127.3,169.33,6.647669
20170824,77.16,1130.9,169.63,6.661218
20170823,77.82,1135.6,170.45,6.660713
20170822,79.65,1138.3,170.44,6.661428
20170821,79.93,1142,170.82,6.666676
20170818,77.94,1135.9,170.01,6.671739
20170817,75.41,1139.6,170.14,6.675288
20170816,72.97,1138.2,170.42,6.691019
20170815,73.68,1146.3,171.57,6.682065
20170814,74.71,1146.3,171.57,6.671251
20170811,75.19,1141.1,170.69,6.665272
20170810,76.68,1134.7,169.27,6.649868
20170809,75.46,1125.4,167.61,6.673963
20170808,75.46,1127.3,167.49,6.703985
20170807,76.17,1125.4,167.37,6.721878
20170804,74.12,1127.6,167.47,6.73158
20170803,72.93,1123.2,166.94,6.716822
20170802,72.3,1118,166.26,6.721891
20170801,73.56,1121.9,166.67,6.719461
20170731,73.7,1119.1,165.85,6.727446
20170728,68.73,1112.5,165.28,6.736901
20170727,70.2,1120.3,165.73,6.740687
20170726,70.43,1116.1,165.44,6.753373
20170725,69.48,1116.1,165.29,6.750566
20170724,67.86,1121.2,165.92,6.750805
20170721,67.14,1124.9,166.35,6.766572
20170720,68.05,1121.8,166.25,6.760388
20170719,70.24,1126.3,166.68,6.752447
20170718,68.84,1128.2,166.76,6.74619
20170717,66.81,1136,167.59,6.769968
20170714,65.74,1137.5,167.75,6.776716
20170713,65.91,1145.6,168.72,6.782851
20170712,64.05,1150.1,168.88,6.787528
20170711,65.4,1149.9,169.09,6.801962
20170710,64.05,1155.8,169.94,6.803342
20170707,62.8,1153.5,169.48,6.804851
20170706,61.96,1149.3,169.02,6.802562
20170705,63.28,1149.3,168.91,6.800613
20170704,63.23,1145,168.97,6.799672
20170703,64.29,1144,168.97,6.796817
20170630,64.95,1139.6,167.79,6.777384
20170629,64.71,1141.7,167.9,6.784607
20170628,62.33,1136.4,165.84,6.799111
20170627,59.7,1135.2,165.84,6.810969
20170626,56.75,1140.1,166.72,6.841134
20170623,56.75,1140.8,167.07,6.836239
20170622,56.53,1142.2,167.25,6.833814
20170621,56.82,1137,166.42,6.829495
20170620,56.45,1131.4,166.01,6.828792
20170619,56.3,1133,166.06,6.819936
20170616,55.75,1122.8,165.63,6.810355
20170615,55.23,1125.6,165.87,6.806358
20170614,54.43,1128.9,166.24,6.793793
20170613,53.36,1126,165.82,6.798724
20170612,54.87,1121.6,165.14,6.79817
20170609,55.43,1125,166.21,6.798775
20170608,55.36,1122,165.88,6.799078
20170607,55.43,1118.4,165.06,6.794159
20170606,56.03,1120.9,165.22,6.796001
20170605,55.9,1120.9,165.22,6.803589
20170602,57.79,1120.4,166.26,6.812239
20170601,55.97,1121.8,164.63,6.805624
20170531,57.02,1123.9,164.59,6.815293
20170530,58.5,1120.1,164.3,6.858594
20170529,58.5,1119.5,163.53,6.856803
20170526,57.91,1118,162.73,6.853084
20170525,60.24,1126.6,163.6,6.868575
20170524,60.52,1120.6,162.89,6.891558
20170523,62,1117.1,162.36,6.890074
20170522,63.19,1127.5,163.67,6.888179
20170519,62.69,1125.2,163.66,6.884441
20170518,61.6,1118.4,162.76,6.888566
20170517,62.2,1117.7,162.36,6.88291
20170516,61.17,1125.4,163.06,6.887769
20170515,60.8,1126.8,163.3,6.89362
20170512,61.38,1130.4,163.61,6.898883
20170511,60.38,1134.5,164.07,6.902501
20170510,60.75,1132.4,163.9,6.903088
20170509,60.75,1132.1,164.16,6.905956
20170508,60.15,1132.1,164.16,6.903502
20170505,61.73,1130.7,163.9,6.903201
20170504,65.2,1130.7,163.9,6.896256
20170503,68.68,1133.4,164.35,6.896267
20170502,68.72,1133.4,164.35,6.894249
20170501,68.8,1130.1,163.71,6.893259
20170428,68.8,1130.1,163.71,6.893929
20170427,66.42,1125.1,163.37,6.897357
20170426,66.62,1130.5,164.26,6.892085
20170425,66.07,1131.7,164.53,6.885337
20170424,66.53,1136.6,165.22,6.885936
20170421,68.22,1141.4,165.85,6.8847
20170420,65.36,1139.8,165.8,6.882811
20170419,64.6,1137.9,165.45,6.886456
20170418,63.2,1136.5,165.22,6.88321
20170417,66.25,1138.8,165.47,6.879611
20170414,68.68,1131.9,164.5,6.8877
20170413,68.68,1145.2,165.94,6.885566
20170412,68.04,1145.8,165.83,6.892149
20170411,74.38,1141.6,165.3,6.892272
20170410,74.71,1134.6,164.46,6.902511
20170407,75.45,1131,164.27,6.90425
20170406,80.92,1124,163.39,6.897155
20170405,81.54,1118.9,162.67,6.893986
20170404,79.45,1113.8,162.01,6.887596
20170403,79.36,1119.3,162.53,6.888971
20170331,80.39,1116.1,162.27,6.8897
20170330,81.78,1114,162.02,6.887036
20170329,82.25,1112.5,162.15,6.890493
20170328,82.01,1114.2,162.48,6.883819
20170327,81.57,1122.7,163.21,6.873364
20170324,85.06,1120,162.91,6.878927
20170323,86.36,1123.8,163.57,6.885453
20170322,84.99,1117.5,162.09,6.880374
20170321,87.59,1124.5,163.44,6.886395
20170320,91.49,1131.4,164.53,6.910069
20170317,92.34,1131.7,164.83,6.89605
20170316,92.61,1146.3,166.34,6.89787
20170315,90.93,1147.3,166.24,6.915441
20170314,88.14,1147.7,166.62,6.914729
20170313,88.26,1158.2,167.71,6.913366
20170310,86.72,1156.1,166.9,6.90775
20170309,86.79,1146.6,166.05,6.911128
20170308,87.19,1151.2,166.84,6.914212
20170307,89.8,1156.1,167.74,6.902349
20170306,89.73,1152.7,167.29,6.897753
20170303,91.32,1142,166.09,6.8954
20170302,92.36,1132.3,165.2,6.890862
20170301,91.26,1132.1,165.04,6.881021
20170228,91.27,1132.1,165.04,6.867007
20170227,92.33,1131,165.01,6.871373
20170224,90.5,1138.8,165.93,6.86685
20170223,91.34,1140.9,166.27,6.866977
20170222,94.3,1146.8,167.03,6.878133
20170221,94.86,1147.6,167.57,6.882567
20170220,92.34,1145.3,167.17,6.877044
20170217,90.37,1138.9,166.45,6.8649
20170216,90.06,1141.6,166.46,6.856361
20170215,91.05,1144.5,167.09,6.869872
20170214,91.71,1151.9,167.4,6.868289
20170213,92.23,1151.4,167.68,6.879314
20170210,86.62,1145.7,167.29,6.8768
20170209,83.84,1145.4,167.38,6.878147
20170208,83.53,1142.1,167.63,6.875169
20170207,83.29,1137.7,167.2,6.885143
20170206,80.6,1146.8,168.17,6.859183
20170203,82.19,1149.2,168.54,6.87095
20170202,83.34,1155.2,168.97,6.879222
20170201,83.34,1165.5,169.94,6.879562
20170131,83.34,1157.8,169.7,6.879436
20170130,83.34,1166.2,170.89,6.879912
20170127,83.34,1166.2,170.89,6.8805
20170126,83.34,1166.2,170.89,6.8794
20170125,82.49,1163.6,170.74,6.8836
20170124,82.69,1166.7,171.04,6.858377
20170123,81.13,1172.5,171.43,6.854
20170120,80.41,1177.1,172.19,6.8765
20170119,80.99,1165.6,170.96,6.87162
20170118,82.05,1180.9,172.51,6.839123
