,날짜,AUD/KRW (호주 달러 / 한국 원),AUD/USD (호주 달러 / 미국 달러),Baltic Capesize Index (BCI)1999.03.01,Baltic Clean Tanker Index (BCTI)1998.08.03,Baltic Dirty Tanker Index (BDTI)1998.08.03,Baltic Dry Index (BDI)1985.01.04,Baltic Handysize Index (BHSI)2006.05.23,Baltic Panamax Index (BPI)1998.05.06,Baltic Supramax index (BSI)2005.01.01,Bloomberg Commodity Total Return,CNY/KRW (중국 인민폐 / 한국 원),CRB BLS Spot Index,DRAMeXchange Index (DXI)2001.10.01=1000,LMEX Index1999.04=1000,Reuters Index of Commodity Prices,Rogers International Commodities Index Agriculture1998.07.31=1000,Rogers International Commodities Index Energy1998.07.31=1000,Rogers International Commodities Index Metals1998.07.31=1000,Rogers International Commodities Index1998.07.31=1000,S&P GSCI,TOCOM Index2002.05.31=100,TR/CC CRB Index,US Dollar IndexMar 1973=100,USD/CNY (미국 달러 / 중국 인민폐),USD/KRW (미국 달러 / 한국 원),USD/RMB (미국 달러 / 중국 인민폐),철광석 Fines (Daily) [중국(수입가 CFR)] 현물
1182,20130926,1008.58,0.94,4193.0,535.0,587.0,2113.0,585.0,1794.0,1046.0,257.29,175.95,470.57,5941.38,3113.9,2632.57,1078.74,850.98,2194.11,3597.81,637.03,340.76,286.77,75.5685,6.12,1076.8,6.15,135.36
1183,20130925,1008.26,0.94,4329.0,532.0,588.0,2127.0,576.0,1745.0,1012.0,256.56,175.61,468.89,5947.1,3092.4,2617.15,1078.2,845.93,2189.76,3586.49,633.82,341.26,285.88,75.3156,6.12,1074.9,6.15,135.61
1184,20130924,1013.82,0.94,4253.0,530.0,586.0,2021.0,567.0,1602.0,986.0,255.37,175.77,469.45,5964.9,3071.9,2617.44,1070.21,848.13,2171.76,3574.71,632.59,340.61,285.17,75.4618,6.12,1075.9,6.15,133.89
1187,20130916,1012.69,0.93,3480.0,558.0,582.0,1651.0,547.0,1321.0,936.0,259.47,177.37,470.47,5973.78,3054.8,2634.75,1069.95,871.26,2171.65,3616.45,644.19,336.5,289.46,75.95,6.12,1085.3,6.16,133.52
1188,20130913,1003.26,0.92,3446.0,561.0,583.0,1636.0,544.0,1306.0,940.0,260.33,177.05,470.6,5787.12,3048.6,2639.92,1076.77,881.41,2168.69,3642.11,650.02,346.4,291.02,76.2939,6.12,1083.2,6.16,136.44
1189,20130912,1013.56,0.93,3397.0,566.0,585.0,1621.0,545.0,1278.0,946.0,261.51,177.67,473.08,5689.94,3059.8,2646.69,1084.11,881.13,2186.1,3656.4,652.26,347.24,292.05,76.1326,6.12,1087.1,6.16,136.69
1190,20130911,1009.77,0.93,3431.0,571.0,583.0,1628.0,543.0,1241.0,954.0,260.55,177.27,471.63,5646.59,3077.2,2657.25,1079.59,870.56,2213.71,3641.21,647.51,351.14,290.68,76.3095,6.12,1084.9,6.16,136.26
1191,20130910,1004.41,0.93,3255.0,573.0,583.0,1541.0,542.0,1186.0,958.0,260.28,177.78,470.53,5510.72,3075.0,2654.98,1076.97,870.14,2211.84,3636.66,647.13,353.4,290.09,76.51,6.12,1088.2,6.16,136.05
1193,20130906,998.26,0.92,2799.0,580.0,593.0,1352.0,537.0,1020.0,959.0,263.25,178.73,472.57,5185.44,3091.8,2677.02,1076.94,896.65,2240.67,3694.79,664.33,353.63,293.34,76.7317,6.12,1093.8,6.17,136.47
1195,20130904,992.89,0.92,2445.0,590.0,604.0,1215.0,535.0,933.0,943.0,262.28,179.05,472.5,4720.07,3057.0,2682.79,1074.7,884.13,2216.9,3661.14,656.07,358.31,290.58,76.8836,6.12,1095.9,6.17,138.86
1196,20130903,993.19,0.91,2344.0,596.0,608.0,1168.0,534.0,921.0,939.0,265.02,180.42,472.46,4723.58,3101.1,2674.39,1080.3,890.31,2256.17,3692.62,660.66,355.51,292.79,77.1537,6.12,1104.1,6.17,139.35
1199,20130829,999.32,0.89,2256.0,605.0,630.0,1136.0,530.0,904.0,937.0,264.96,182.51,472.99,4732.66,3094.7,2692.54,1081.0,892.01,2260.21,3698.09,663.48,355.09,293.79,76.9113,6.12,1117.0,6.17,140.3
1200,20130828,1002.1,0.89,2284.0,605.0,642.0,1146.0,531.0,901.0,934.0,266.46,182.27,474.5,4735.02,3145.7,2696.37,1084.56,900.82,2288.54,3728.44,668.6,356.18,295.69,76.4547,6.12,1115.8,6.17,142.19
1201,20130827,1003.7,0.9,2335.0,600.0,645.0,1169.0,531.0,904.0,929.0,266.26,181.83,472.3,4735.13,3168.2,2692.3,1088.48,889.06,2303.94,3716.65,662.96,349.5,294.71,76.283,6.12,1113.0,6.17,141.25
1203,20130823,1015.52,0.9,2312.0,591.0,658.0,1165.0,528.0,903.0,927.0,262.06,183.68,472.35,4751.92,3183.5,2651.15,1068.68,867.68,2294.82,3650.9,649.4,349.93,290.79,76.4155,6.12,1124.3,6.17,139.27
1204,20130822,1004.0,0.9,2284.0,586.0,663.0,1158.0,525.0,904.0,925.0,259.68,182.59,470.58,4766.37,3168.8,2654.67,1060.87,859.21,2276.01,3619.57,643.29,344.49,288.34,76.4911,6.12,1118.1,6.17,138.74
1205,20130821,1017.06,0.9,2268.0,578.0,663.0,1156.0,522.0,905.0,920.0,259.82,183.18,471.7,4765.41,3152.0,2657.28,1073.43,852.77,2269.33,3619.95,642.3,342.4,288.23,76.1854,6.12,1121.9,6.17,138.9
1206,20130820,1016.81,0.91,2218.0,562.0,653.0,1145.0,520.0,912.0,919.0,260.66,181.89,471.32,4764.48,3189.2,2666.94,1078.34,858.26,2290.26,3643.14,645.45,340.21,290.34,75.8014,6.12,1113.7,6.17,139.12
1207,20130819,1023.85,0.91,2140.0,552.0,647.0,1115.0,519.0,917.0,917.0,262.1,182.34,474.66,4764.14,3186.1,2671.52,1092.66,864.62,2287.16,3670.48,649.52,344.76,293.07,76.008,6.12,1115.0,6.17,140.09
1210,20130813,1015.39,0.91,1846.0,565.0,631.0,1007.0,516.0,933.0,909.0,255.76,181.79,472.42,4682.5,3149.2,2656.96,1066.09,855.78,2235.68,3605.19,641.23,337.79,288.08,76.399,6.12,1113.0,6.17,143.78
1211,20130812,1022.41,0.91,1805.0,570.0,631.0,996.0,518.0,940.0,910.0,256.12,181.61,472.67,4651.42,3148.3,2692.47,1071.18,849.57,2241.45,3601.66,638.88,332.84,288.24,75.8843,6.13,1111.8,6.17,140.02
1212,20130809,1012.82,0.92,1813.0,576.0,632.0,1001.0,521.0,948.0,911.0,252.78,181.92,469.11,4709.38,3148.8,2671.26,1057.28,844.12,2224.28,3569.4,634.71,328.97,285.38,75.7865,6.12,1113.6,6.17,136.32
1213,20130808,1005.12,0.91,1829.0,580.0,629.0,1012.0,522.0,962.0,913.0,251.67,182.59,468.0,4700.26,3100.0,2597.58,1061.36,830.99,2193.99,3539.29,627.95,327.04,283.49,75.7264,6.12,1117.3,6.17,136.0
1214,20130807,1001.33,0.9,1853.0,590.0,621.0,1024.0,525.0,977.0,911.0,249.07,182.01,467.46,4767.07,3025.9,2597.58,1053.31,836.89,2140.67,3522.16,629.7,328.79,281.54,76.1542,6.12,1114.2,6.17,133.42
1215,20130806,995.24,0.9,1907.0,605.0,618.0,1046.0,526.0,992.0,907.0,250.16,182.26,466.91,4782.9,3021.5,2610.3,1050.35,844.96,2136.93,3532.32,634.83,335.6,281.37,76.3775,6.12,1116.3,6.18,131.96
1216,20130805,1002.62,0.89,1939.0,612.0,618.0,1058.0,527.0,1009.0,908.0,251.66,183.61,467.75,4862.19,3022.5,2671.35,1050.94,852.6,2151.0,3552.04,639.59,339.05,283.18,76.6235,6.13,1125.4,6.18,130.56
1217,20130802,1002.2,0.89,1950.0,618.0,618.0,1065.0,529.0,1021.0,908.0,253.0,182.92,466.83,4869.33,3034.8,2672.61,1055.09,856.13,2159.5,3566.38,642.74,340.88,283.77,76.6597,6.13,1121.4,6.18,130.21
1218,20130801,1001.65,0.89,1935.0,622.0,618.0,1066.0,530.0,1041.0,909.0,254.16,182.68,468.27,4882.85,3029.7,2679.2,1056.95,861.76,2151.65,3576.2,646.77,337.77,285.08,76.7819,6.13,1119.6,6.18,130.43
1219,20130731,1010.26,0.89,1881.0,615.0,624.0,1062.0,531.0,1057.0,912.0,253.95,181.61,467.95,4918.54,2990.2,2661.18,1064.43,845.88,2133.52,3548.67,638.64,334.18,283.94,76.3501,6.13,1113.6,6.18,130.63
1220,20130730,1019.48,0.91,1856.0,606.0,638.0,1067.0,532.0,1075.0,916.0,252.16,180.91,466.48,4960.29,2931.6,2662.9,1061.66,835.3,2113.12,3518.33,632.09,336.36,281.68,76.3102,6.13,1109.4,6.18,131.19
1221,20130729,1031.16,0.92,1864.0,607.0,650.0,1075.0,534.0,1090.0,919.0,253.97,181.31,467.24,5005.6,2980.4,2669.44,1062.22,843.31,2137.1,3542.76,636.48,334.11,283.63,76.1303,6.14,1111.7,6.17,131.59
1222,20130726,1032.5,0.93,1873.0,607.0,653.0,1082.0,534.0,1104.0,917.0,254.87,182.13,468.32,5003.38,2976.4,2680.8,1066.47,844.86,2128.99,3547.59,636.81,338.76,284.46,76.2228,6.13,1117.3,6.17,133.48
1223,20130725,1019.51,0.92,1890.0,602.0,650.0,1092.0,535.0,1123.0,917.0,257.22,181.57,470.19,5033.37,3031.7,2676.53,1068.76,850.4,2160.78,3571.92,640.68,340.5,286.9,76.4933,6.13,1114.1,6.18,132.63
1224,20130724,1036.89,0.92,1936.0,602.0,646.0,1117.0,539.0,1145.0,914.0,258.65,181.92,470.36,5038.14,3056.2,2703.62,1076.74,850.53,2169.53,3584.75,642.1,344.32,287.74,76.6096,6.14,1116.5,6.17,132.89
1225,20130723,1035.28,0.93,1956.0,603.0,649.0,1127.0,539.0,1159.0,907.0,261.04,182.14,470.1,5048.92,3046.0,2705.0,1084.36,861.98,2168.74,3614.17,648.62,342.22,290.65,76.5887,6.14,1118.5,6.17,133.17
1226,20130722,1032.89,0.93,1978.0,601.0,650.0,1135.0,541.0,1170.0,902.0,261.41,183.04,471.8,5125.54,3043.0,2718.11,1096.29,858.89,2171.79,3622.45,648.43,343.7,291.04,76.6787,6.14,1123.5,6.17,131.99
1227,20130719,1030.89,0.92,1987.0,595.0,650.0,1138.0,544.0,1172.0,898.0,261.0,182.75,470.77,5156.45,3006.9,2717.37,1095.83,865.12,2134.07,3620.66,650.66,341.71,290.92,77.0139,6.14,1122.3,6.18,132.36
1228,20130718,1031.78,0.92,2006.0,595.0,630.0,1146.0,550.0,1165.0,897.0,260.65,182.24,470.1,5163.89,2994.2,2711.38,1090.23,866.66,2122.76,3613.47,651.05,340.08,290.51,77.3383,6.14,1118.1,6.17,132.44
1229,20130717,1033.79,0.92,2034.0,601.0,617.0,1151.0,556.0,1153.0,894.0,258.5,182.4,468.31,5161.14,2989.0,2709.91,1088.37,857.52,2118.25,3592.28,646.65,337.28,287.96,77.2253,6.14,1119.0,6.17,130.33
1230,20130716,1020.56,0.92,2044.0,578.0,609.0,1152.0,559.0,1136.0,895.0,259.79,182.91,468.64,5156.95,3023.0,2706.81,1089.76,854.33,2144.0,3596.73,645.99,337.93,288.48,77.0113,6.14,1122.6,6.17,128.41
1232,20130712,1031.42,0.91,2058.0,574.0,612.0,1149.0,561.0,1097.0,897.0,258.55,183.35,469.67,5145.75,3025.7,2711.43,1087.46,852.37,2143.2,3590.14,644.63,334.51,286.66,77.3247,6.14,1124.9,6.16,127.51
1233,20130711,1054.47,0.92,2047.0,566.0,613.0,1139.0,561.0,1062.0,901.0,258.88,185.65,471.81,5142.56,3031.6,2720.23,1097.44,843.15,2145.0,3584.06,641.56,336.08,286.68,77.2259,6.14,1138.8,6.16,126.43
1234,20130710,1048.95,0.93,2037.0,563.0,611.0,1130.0,564.0,1024.0,904.0,258.26,186.75,471.81,5143.18,2976.4,2713.8,1094.95,850.63,2109.29,3583.13,644.31,335.86,286.17,78.2665,6.14,1144.7,6.17,124.51
1235,20130709,1051.57,0.92,2012.0,561.0,609.0,1120.0,566.0,1006.0,911.0,256.19,187.71,470.96,5230.12,2931.7,2698.35,1090.52,838.0,2086.29,3545.89,637.17,338.73,283.6,78.66,6.13,1151.4,6.17,123.9
1236,20130708,1034.04,0.91,1977.0,559.0,606.0,1115.0,568.0,1002.0,920.0,255.49,186.17,470.17,5263.74,2966.0,2702.1,1073.68,836.3,2096.5,3527.65,634.83,334.53,282.64,78.4953,6.13,1141.7,6.18,120.21
1237,20130705,1041.74,0.91,1929.0,555.0,603.0,1099.0,568.0,1008.0,924.0,252.7,186.13,469.5,5275.69,2931.3,2704.91,1069.79,835.64,2061.1,3509.66,634.02,330.81,280.72,78.5477,6.13,1140.2,6.18,124.45
1239,20130703,1035.64,0.91,2020.0,556.0,589.0,1133.0,569.0,1017.0,943.0,255.24,184.72,472.1,5284.31,3021.4,2710.01,1078.46,823.0,2121.97,3516.31,629.38,332.83,281.79,77.6893,6.13,1132.9,6.18,120.59
1240,20130702,1050.55,0.91,2134.0,561.0,587.0,1170.0,569.0,1016.0,952.0,253.57,185.38,470.01,5284.67,3018.6,2709.58,1072.06,809.36,2125.41,3484.22,621.03,328.25,279.69,77.7795,6.14,1136.9,6.18,119.99
1241,20130701,1045.89,0.92,2176.0,562.0,580.0,1179.0,566.0,1014.0,954.0,252.4,186.6,469.23,5280.16,3029.5,2719.85,1101.89,798.53,2134.28,3465.71,616.02,324.09,277.9,77.4458,6.13,1145.3,6.18,118.28
1242,20130628,1065.25,0.91,2165.0,561.0,577.0,1171.0,564.0,1007.0,954.0,250.54,186.97,468.12,5275.36,2940.5,2716.87,1073.53,790.04,2082.38,3433.85,611.3,319.7,275.62,77.5848,6.14,1149.7,6.18,116.55
1243,20130627,1071.34,0.93,2120.0,555.0,577.0,1151.0,558.0,994.0,950.0,252.27,187.64,468.67,5266.15,2940.1,2713.3,1089.01,794.43,2068.14,3454.66,615.88,318.97,277.35,77.3637,6.15,1153.4,6.18,116.38
1244,20130626,1073.27,0.93,2061.0,555.0,577.0,1125.0,554.0,976.0,944.0,253.1,188.62,469.9,5265.42,2930.9,2714.45,1089.61,786.32,2064.12,3438.01,610.93,315.38,276.79,77.1833,6.15,1159.1,6.18,114.26
1245,20130625,1072.0,0.93,1959.0,552.0,580.0,1090.0,552.0,959.0,937.0,254.44,188.3,471.23,5255.79,2958.8,2716.96,1096.35,784.13,2104.47,3454.46,611.83,318.57,278.02,77.1328,6.15,1157.1,6.18,115.24
1246,20130624,1068.41,0.93,1912.0,557.0,583.0,1062.0,552.0,937.0,930.0,254.46,188.41,473.42,5248.85,2911.0,2704.19,1096.02,784.09,2079.02,3445.6,610.3,320.94,277.48,77.1314,6.14,1155.6,6.18,116.11
1247,20130621,1054.12,0.92,1822.0,561.0,584.0,1027.0,552.0,927.0,923.0,256.19,186.78,470.56,5248.04,2968.9,2709.74,1106.75,778.25,2117.19,3458.54,610.04,324.78,278.08,76.9261,6.14,1144.6,6.18,120.3
1248,20130620,1050.69,0.92,1792.0,564.0,580.0,1012.0,548.0,920.0,916.0,257.77,184.92,472.52,5263.82,2947.2,2725.42,1110.8,789.84,2104.19,3481.59,616.46,330.73,279.57,76.5308,6.13,1133.0,6.17,121.16
1249,20130619,1071.43,0.93,1757.0,566.0,580.0,995.0,547.0,909.0,909.0,265.64,184.37,476.15,5257.02,3023.5,2723.24,1126.95,817.83,2184.39,3581.21,635.84,328.14,287.96,75.0949,6.13,1129.9,6.17,120.0
1250,20130618,1075.89,0.95,1674.0,568.0,583.0,962.0,544.0,892.0,903.0,263.48,184.16,474.43,5249.27,3038.6,2726.08,1112.23,817.14,2193.05,3566.47,633.01,326.9,286.43,75.1645,6.13,1128.0,6.17,118.2
1251,20130617,1080.31,0.95,1588.0,569.0,586.0,925.0,539.0,878.0,900.0,263.21,184.02,476.26,5238.51,3064.6,2734.09,1111.05,812.3,2207.02,3560.23,630.52,328.73,286.26,75.1748,6.13,1128.2,6.16,115.56
1252,20130614,1092.53,0.96,1537.0,570.0,587.0,900.0,533.0,859.0,900.0,262.42,184.99,476.22,5179.74,3070.2,2745.7,1111.14,812.72,2215.12,3563.85,631.24,326.86,286.18,75.1124,6.13,1134.8,6.16,113.66
1253,20130613,1071.53,0.96,1484.0,571.0,590.0,873.0,528.0,833.0,895.0,261.83,184.43,477.62,5057.41,3054.6,2759.98,1109.98,805.31,2201.73,3543.51,626.36,321.56,285.3,75.1381,6.14,1131.2,6.16,113.12
1257,20130607,1069.84,0.95,1352.0,582.0,602.0,812.0,524.0,764.0,889.0,264.28,182.39,476.52,4859.43,3153.4,2792.9,1126.32,800.92,2270.3,3575.55,631.05,333.26,287.67,75.8685,6.14,1119.2,6.16,111.96
1258,20130605,1082.71,0.95,1335.0,582.0,608.0,801.0,521.0,768.0,880.0,266.05,183.04,475.44,4784.01,3236.7,2802.34,1117.57,788.25,2319.25,3557.09,626.58,340.86,285.97,76.8435,6.13,1121.8,6.18,118.99
1259,20130604,1100.29,0.97,1338.0,583.0,609.0,805.0,526.0,776.0,877.0,265.96,183.98,475.32,4746.04,3229.0,2819.54,1126.36,786.7,2309.3,3560.44,625.64,341.1,285.94,77.0249,6.13,1128.1,6.17,118.09
1260,20130603,1082.38,0.98,1333.0,587.0,610.0,806.0,529.0,786.0,873.0,265.32,183.64,474.69,4697.97,3192.0,2822.66,1127.06,783.47,2302.79,3552.71,622.56,337.71,284.9,76.657,6.13,1126.6,6.18,113.16
1261,20130531,1091.18,0.96,1336.0,589.0,612.0,809.0,533.0,795.0,871.0,262.93,184.03,472.94,4664.43,3169.9,2832.36,1120.11,772.14,2274.43,3513.28,615.46,343.98,281.85,77.3774,6.14,1128.3,6.18,111.16
1262,20130530,1088.53,0.97,1339.0,589.0,614.0,811.0,537.0,806.0,865.0,264.31,184.6,472.67,4612.44,3168.1,2811.9,1114.21,785.63,2282.9,3536.18,622.46,343.22,283.76,77.1811,6.13,1131.0,6.18,110.79
1263,20130529,1077.5,0.96,1348.0,593.0,614.0,818.0,543.0,821.0,859.0,265.38,183.86,472.47,4573.55,3129.4,2812.56,1119.47,786.52,2249.83,3532.84,623.35,348.55,284.27,77.5927,6.13,1125.5,6.19,117.01
1264,20130528,1083.98,0.96,1346.0,596.0,609.0,822.0,545.0,838.0,858.0,266.54,183.81,473.37,4568.56,3144.2,2819.87,1121.04,800.64,2246.2,3561.24,630.57,345.83,285.91,77.9786,6.12,1125.1,6.18,118.23
1266,20130524,1091.51,0.96,1350.0,594.0,606.0,826.0,546.0,854.0,857.0,265.64,183.19,472.45,4557.95,3118.6,2823.57,1119.43,792.62,2236.79,3540.54,624.4,344.11,284.89,77.543,6.13,1123.7,6.19,122.72
1267,20130523,1075.52,0.97,1339.0,596.0,604.0,828.0,551.0,863.0,855.0,266.82,181.44,473.6,4547.2,3130.9,2817.89,1127.56,792.55,2239.8,3550.38,624.86,341.76,286.03,77.5523,6.13,1112.4,6.19,124.47
1268,20130522,1091.31,0.97,1333.0,586.0,603.0,829.0,552.0,880.0,853.0,266.32,181.38,474.13,4520.53,3198.1,2832.39,1126.51,792.58,2263.01,3556.93,625.96,350.03,286.33,78.0945,6.13,1112.9,6.19,124.95
1269,20130521,1097.02,0.98,1321.0,582.0,605.0,830.0,554.0,899.0,851.0,266.47,182.13,474.55,4499.64,3155.1,2834.51,1119.63,804.8,2245.05,3567.51,631.02,353.95,288.78,77.6028,6.14,1118.1,6.19,125.47
1270,20130520,1085.5,0.98,1317.0,585.0,609.0,836.0,555.0,917.0,852.0,266.69,181.45,474.48,4479.36,3164.0,2822.12,1124.67,810.23,2254.05,3586.77,635.02,349.0,288.78,77.7033,6.14,1114.3,6.2,123.45
1271,20130516,1100.96,0.98,1334.0,586.0,611.0,850.0,554.0,951.0,853.0,263.48,181.19,473.78,4461.34,3122.1,2822.91,1122.17,798.47,2235.64,3554.73,627.99,348.42,286.25,77.2774,6.15,1113.6,6.21,126.19
1272,20130515,1098.92,0.99,1338.0,595.0,614.0,861.0,555.0,974.0,854.0,264.27,180.6,474.61,4463.8,3091.4,2822.56,1127.0,794.67,2225.22,3549.13,624.91,349.38,286.53,77.4811,6.15,1109.4,6.21,127.57
1273,20130514,1109.81,0.99,1360.0,599.0,615.0,872.0,555.0,988.0,857.0,265.52,181.34,475.2,4459.56,3122.2,2835.26,1135.74,791.08,2252.82,3560.83,625.54,350.32,287.67,77.0804,6.14,1114.6,6.2,129.64
1274,20130513,1102.77,1.0,1370.0,605.0,615.0,879.0,553.0,993.0,861.0,266.08,179.53,475.75,4456.04,3171.2,2843.7,1137.48,793.9,2273.67,3575.21,627.87,351.21,288.77,76.878,6.15,1102.6,6.21,129.1
1275,20130510,1097.27,1.0,1382.0,609.0,617.0,884.0,551.0,994.0,866.0,265.57,177.3,474.76,4452.17,3163.0,2843.34,1127.66,800.47,2270.6,3576.29,629.36,353.1,288.68,76.9444,6.14,1087.0,6.2,130.9
1276,20130509,1108.53,1.01,1398.0,613.0,620.0,889.0,551.0,995.0,869.0,268.47,177.12,476.64,4448.07,3163.6,2841.07,1138.74,805.39,2290.48,3604.81,634.91,344.29,291.45,75.9008,6.13,1087.7,6.19,132.82
1277,20130508,1114.18,1.02,1408.0,615.0,616.0,892.0,548.0,995.0,872.0,267.57,177.77,477.3,4453.77,3187.0,2846.81,1127.55,804.89,2306.44,3596.71,632.85,343.98,290.79,75.6456,6.13,1094.0,6.2,131.85
1278,20130507,1121.51,1.02,1393.0,604.0,620.0,889.0,546.0,999.0,874.0,265.74,177.4,476.56,4467.74,3128.1,2838.18,1129.21,800.19,2270.01,3577.26,630.47,345.09,288.99,75.9862,6.16,1094.0,6.21,132.2
1281,20130502,1133.01,1.03,1322.0,605.0,623.0,873.0,546.0,1010.0,880.0,264.87,178.78,476.53,4452.73,2978.5,2817.79,1138.79,787.92,2214.74,3545.4,622.62,328.41,286.69,75.9135,6.16,1102.2,6.21,130.4
1284,20130426,1146.59,1.03,1246.0,613.0,623.0,871.0,545.0,1082.0,900.0,265.51,180.5,475.1,4424.01,3078.0,2832.67,1117.64,788.93,2265.36,3540.68,622.29,341.82,285.4,76.2258,6.16,1113.9,6.22,132.84
1285,20130425,1149.7,1.03,1220.0,616.0,622.0,872.0,544.0,1121.0,904.0,266.92,181.14,475.36,4431.95,3150.9,2844.53,1119.37,791.62,2306.83,3561.34,625.15,340.23,287.13,76.5494,6.17,1119.2,6.23,135.68
1286,20130424,1149.94,1.03,1214.0,620.0,626.0,879.0,543.0,1165.0,905.0,262.88,181.28,473.11,4442.85,3098.9,2841.47,1109.1,776.73,2259.37,3505.01,614.65,337.32,282.9,76.8244,6.18,1120.2,6.24,136.64
1287,20130423,1151.76,1.03,1220.0,629.0,638.0,885.0,540.0,1193.0,903.0,261.83,181.43,472.74,4514.6,3043.1,2838.34,1112.68,764.03,2231.05,3474.57,607.11,331.47,280.99,76.7463,6.18,1121.7,6.24,137.05
1288,20130422,1150.1,1.03,1230.0,634.0,638.0,889.0,540.0,1202.0,902.0,263.58,181.06,475.46,4557.67,3063.9,2862.49,1122.71,765.26,2246.27,3493.08,609.1,335.23,282.8,76.6106,6.18,1118.5,6.24,138.88
1289,20130419,1155.27,1.03,1234.0,633.0,634.0,888.0,539.0,1196.0,902.0,264.69,181.52,476.44,4566.69,3072.6,2867.98,1131.5,761.32,2238.91,3492.61,607.5,332.39,283.19,76.5634,6.18,1122.0,6.24,138.43
1290,20130418,1149.15,1.03,1238.0,623.0,632.0,885.0,538.0,1180.0,898.0,264.88,180.69,476.12,4565.65,3111.3,2867.11,1129.03,758.48,2254.46,3489.24,606.01,323.4,282.9,76.385,6.21,1115.3,6.24,138.85
1291,20130417,1163.66,1.03,1245.0,623.0,630.0,885.0,537.0,1167.0,899.0,262.3,181.08,475.86,4578.38,3098.7,2875.3,1134.1,747.24,2246.02,3469.79,600.97,329.43,280.88,76.3932,6.18,1119.6,6.23,139.59
1292,20130416,1162.6,1.04,1251.0,627.0,638.0,880.0,531.0,1143.0,900.0,263.88,181.79,476.08,4592.72,3172.3,2889.71,1130.66,762.25,2282.73,3507.68,609.91,327.22,283.23,76.0477,6.19,1124.7,6.24,139.83
1293,20130415,1189.01,1.03,1257.0,635.0,663.0,876.0,528.0,1125.0,902.0,261.52,182.67,474.82,4596.23,3126.2,2881.81,1119.47,763.93,2245.68,3486.63,608.83,336.48,280.93,76.1644,6.19,1131.1,6.25,141.31
1294,20130412,1190.7,1.05,1265.0,640.0,674.0,875.0,526.0,1112.0,902.0,269.41,182.2,478.38,4595.16,3184.5,2906.63,1140.07,783.1,2329.05,3574.55,623.16,357.11,287.21,76.045,6.19,1129.0,6.25,142.1
1295,20130411,1200.39,1.05,1257.0,645.0,682.0,865.0,521.0,1095.0,901.0,271.75,183.77,479.41,4597.79,3269.9,2897.14,1130.38,795.86,2399.17,3611.82,631.61,359.74,289.94,75.9458,6.2,1138.3,6.26,141.44
1296,20130410,1195.1,1.05,1250.0,649.0,702.0,859.0,518.0,1080.0,900.0,271.76,183.62,477.29,4614.41,3249.1,2908.04,1129.75,804.34,2396.12,3627.0,636.03,360.48,290.79,76.2631,6.19,1138.9,6.25,141.41
1297,20130409,1185.48,1.05,1236.0,655.0,709.0,856.0,518.0,1077.0,902.0,272.31,183.5,479.34,4616.34,3275.1,2908.71,1132.21,803.54,2415.75,3634.47,637.09,358.72,290.99,76.1546,6.2,1138.3,6.26,140.2
1298,20130408,1168.07,1.04,1223.0,659.0,712.0,858.0,523.0,1084.0,907.0,270.69,181.75,477.99,4630.8,3215.7,2900.82,1129.13,796.97,2378.38,3605.92,632.31,355.85,289.18,76.4689,6.2,1127.1,6.27,139.86
1301,20130403,1163.15,1.05,1209.0,673.0,659.0,877.0,537.0,1129.0,924.0,269.55,179.52,478.68,4627.79,3190.0,2915.21,1133.44,805.72,2361.13,3622.53,638.67,346.72,289.77,76.0037,6.2,1112.8,6.26,136.29
1302,20130402,1164.19,1.05,1229.0,683.0,658.0,896.0,543.0,1155.0,933.0,272.75,179.69,478.58,4618.0,3219.3,2946.01,1127.65,829.92,2385.01,3671.96,651.87,347.81,293.52,76.1416,6.2,1115.5,6.26,137.22
1305,20130328,1158.56,1.04,1249.0,691.0,661.0,910.0,547.0,1176.0,944.0,276.69,178.5,479.78,4556.06,3262.1,2960.82,1148.57,829.38,2423.98,3706.7,655.05,352.75,296.39,76.2004,6.22,1109.2,6.27,136.58
1306,20130327,1160.91,1.04,1258.0,694.0,663.0,922.0,547.0,1191.0,965.0,280.42,178.38,482.54,4546.86,3284.3,2954.34,1177.91,826.43,2439.09,3738.46,657.78,352.77,298.17,76.465,6.22,1107.9,6.27,137.83
1307,20130326,1164.29,1.05,1275.0,695.0,669.0,931.0,545.0,1204.0,977.0,278.76,179.13,483.25,4569.3,3284.0,2965.61,1173.34,822.69,2435.72,3724.76,654.54,348.86,296.72,76.2198,6.21,1112.5,6.27,136.94
1308,20130325,1168.26,1.05,1284.0,700.0,675.0,935.0,543.0,1210.0,981.0,277.32,179.84,482.25,4595.72,3295.8,2972.97,1170.28,810.9,2457.44,3704.32,649.03,351.52,294.7,76.2907,6.21,1117.2,6.27,136.06
1309,20130322,1164.59,1.04,1284.0,704.0,677.0,933.0,542.0,1208.0,978.0,277.76,179.62,481.58,4597.73,3311.4,2964.1,1171.72,805.94,2465.81,3698.55,646.5,350.92,294.7,76.0155,6.21,1116.2,6.27,134.89
1310,20130321,1159.02,1.04,1290.0,703.0,671.0,930.0,539.0,1202.0,968.0,277.74,179.9,481.85,4562.84,3280.7,2957.32,1176.43,800.62,2454.34,3689.63,644.55,355.27,294.05,76.3161,6.22,1117.5,6.27,134.34
