날짜,철광석 Fines (Daily) [중국(수입가 CFR)] 현물
20161215,81.5
20161216,81.49
20161219,81.22
20161220,79.62
20161221,79.19
20161222,76.15
20161223,78.14
20161227,79.42
20161228,80.68
20161229,80.43
20161230,78.87
20170103,77.91
20170104,77.25
20170105,78.93
20170106,76.25
20170109,77.73
20170110,79.43
20170111,80.41
20170112,80.99
20170113,80.54
20170116,83.65
20170117,81.55
20170118,82.05
20170119,80.99
20170120,80.41
20170123,81.13
20170124,82.69
20170125,82.49
20170126,83.34
20170127,83.34
20170131,83.34
20170201,83.34
20170202,83.34
20170203,82.19
20170206,80.6
20170207,83.29
20170208,83.53
20170209,83.84
20170210,86.62
20170213,92.23
20170214,91.71
20170215,91.05
20170216,90.06
20170217,90.37
20170220,92.34
20170221,94.86
20170222,94.3
20170223,91.34
20170224,90.5
20170227,92.33
20170228,91.27
20170301,91.26
20170302,92.36
20170303,91.32
20170306,89.73
20170307,89.8
20170308,87.19
20170309,86.79
20170310,86.72
20170313,88.26
20170314,88.14
20170315,90.93
20170316,92.61
20170317,92.34
20170320,91.49
20170321,87.59
20170322,84.99
20170323,86.36
20170324,85.06
20170327,81.57
20170328,82.01
20170329,82.25
20170330,81.78
20170331,80.39
20170403,79.36
20170404,79.45
20170405,81.54
20170406,80.92
20170407,75.45
20170410,74.71
20170411,74.38
20170412,68.04
20170413,68.68
20170417,66.25
20170418,63.2
20170419,64.6
20170420,65.36
20170421,68.22
20170424,66.53
20170425,66.07
20170426,66.62
20170427,66.42
20170428,68.8
20170502,68.72
20170503,68.68
20170504,65.2
20170505,61.73
20170508,60.15
20170509,60.75
20170511,60.38
20170512,61.38
20170515,60.8
20170516,61.17
20170517,62.2
20170518,61.6
20170519,62.69
20170522,63.19
20170523,62.0
20170524,60.52
20170525,60.24
20170526,57.91
20170529,58.5
20170530,58.5
20170531,57.02
20170601,55.97
20170602,57.79
20170605,55.9
20170606,56.03
20170607,55.43
20170608,55.36
20170609,55.43
20170612,54.87
20170613,53.36
20170614,54.43
20170615,55.23
20170616,55.75
20170619,56.3
20170620,56.45
20170621,56.82
20170622,56.53
20170623,56.75
20170627,59.7
20170628,62.33
20170629,64.71
20170630,64.95
20170703,64.29
20170704,63.23
20170705,63.28
20170706,61.96
20170707,62.8
20170710,64.05
20170711,65.4
20170712,64.05
20170713,65.91
20170714,65.74
20170717,66.81
20170718,68.84
20170719,70.24
20170720,68.05
20170721,67.14
20170724,67.86
20170725,69.48
20170726,70.43
20170727,70.2
20170728,68.73
20170731,73.7
20170801,73.56
20170802,72.3
20170803,72.93
20170804,74.12
20170807,76.17
20170808,75.46
20170810,76.68
20170811,75.19
20170814,74.71
20170815,73.68
20170816,72.97
20170817,75.41
20170818,77.94
20170821,79.93
20170822,79.65
20170823,77.82
20170824,77.16
20170825,78.38
20170828,77.15
20170829,76.36
20170830,76.08
20170831,78.91
20170904,77.86
20170905,78.39
20170906,76.82
20170907,75.61
20170908,74.36
20170911,74.49
20170912,76.37
20170913,76.56
